Date,ID,Field,Plot,Row,Col,Entry,Treatment,PC1,PC2,HT.x,HT2.x,R.x,G.x,B.x,VI1.x,VI2.x,VI3.x,VI4.x,VI5.x,VI6.x,VI7.x,VARI.x,H.x,GA.x,GGA.x,CSI.x,NIR.x,RGE.x,RED.x,GRN.x,NDVI.x,OSAVI.x,SAVI.x,SAVIl.x,SAVIRE1.x,SAVIRE2.x,MCARI.x,MSR.x,GRNDVI.x,NDRE.x,NDGR.x,CHLG.x,CC1.x,ARI.x,SRRED.x,SRRGE.x,SRGRN.x,SRGRNRED.x,R2.x,G2.x,NIR2.x,NDVI2.x,OSAVI2.x,SAVI2.x,SAVIl2.x,MSR2.x,NDGR2.x,CHLG2.x,SRR2.x,SRG2.x,ARI2.x,HTNDVI2.x,HT.y,HT2.y,R.y,G.y,B.y,VI1.y,VI2.y,VI3.y,VI4.y,VI5.y,VI6.y,VI7.y,VARI.y,H.y,GA.y,GGA.y,CSI.y,NIR.y,RGE.y,RED.y,GRN.y,NDVI.y,OSAVI.y,SAVI.y,SAVIl.y,SAVIRE1.y,SAVIRE2.y,MCARI.y,MSR.y,GRNDVI.y,NDRE.y,NDGR.y,CHLG.y,CC1.y,ARI.y,SRRED.y,SRRGE.y,SRGRN.y,SRGRNRED.y,R2.y,G2.y,NIR2.y,NDVI2.y,OSAVI2.y,SAVI2.y,SAVIl2.y,MSR2.y,NDGR2.y,CHLG2.y,SRR2.y,SRG2.y,ARI2.y,HTNDVI2.y
230216,1,525.1,8,1,8,chck_003,3,100,100,0.516371045,0.483779519,111.8178561,133.1104468,63.85415204,0.087395851,-0.276304605,1.191753335,2.112354557,0.568164,0.920601222,0.045292525,0.117756405,78.42646724,1035,0,1,0.291698223,0.192979758,0.028003118,0.069686373,0.823845969,0.636381845,0.481689567,0.399107818,0.159017836,0.166655114,0.978077416,2.788062411,0.426268138,0.203605616,0.613441884,3.189980938,0.308316766,2.67771316,10.45568479,1.512267778,4.189980938,2.493240935,5093.95579,6810.213776,24854.22007,0.658183211,0.76348843,0.987258269,1.316322297,1.600567395,0.568479757,2.652854907,4.899589973,3.652854907,-1.246735066,0.318969377,0.552548152,0.511277999,112.7693637,135.460792,62.76336258,0.091816116,-0.287435835,1.202303789,2.179309117,0.554178566,0.977005327,0.050721862,0.122587629,78.7266992,261,0,1,0.322457074,0.211357556,0.027881764,0.072418829,0.84068739,0.669185541,0.519325927,0.436098976,0.169270947,0.176165059,1.183051594,2.981371533,0.443694919,0.208104033,0.63317478,3.459328537,0.316990879,2.933389354,11.57805053,1.525939183,4.459328537,2.597861468,5109.632341,7039.017448,27289.90394,0.684092351,0.793543196,1.026122638,1.368142333,1.722942991,0.58932489,2.875605954,5.341144011,3.875605954,-1.465538057,0.349789587
230216,2,525.1,16,2,1,chck_003,3,100,100,0.506546712,0.499494472,116.356983,138.6444516,66.69627193,0.087831038,-0.274234921,1.192709741,2.103302919,0.570513211,0.910593179,0.044538177,0.118587191,78.5832162,1036,0,1,0.305321657,0.205866141,0.030210064,0.073824951,0.819615251,0.64348917,0.493522578,0.411753801,0.155503081,0.162344054,1.023892373,2.738406109,0.419339187,0.194623696,0.610430656,3.146412277,0.296284516,2.662173935,10.16445876,1.484238342,4.146412277,2.449578069,5552.196532,7429.472551,26724.49601,0.656179446,0.761164365,0.984253844,1.312318026,1.587542312,0.565161633,2.610214707,4.84539176,3.610214707,-1.235177053,0.32782023,0.531344582,0.524222384,113.8189923,136.5474852,62.9187301,0.091550683,-0.293339927,1.201796233,2.219412376,0.548138892,1.017616143,0.04868698,0.121665794,78.52046262,259,0,1,0.324156864,0.217501158,0.031312535,0.077477981,0.823939957,0.659047044,0.513486495,0.432092997,0.1612625,0.167663933,1.104435635,2.785001399,0.425003674,0.1971082,0.614383945,3.195699676,0.300176439,2.703801312,10.42687187,1.491898364,4.195699676,2.483556465,5699.022852,7636.613727,27824.80065,0.66064262,0.766341771,0.990949106,1.321245711,1.609686073,0.569708307,2.657211572,4.927532628,3.657211572,-1.270321056,0.346382621
230216,3,525.1,24,3,8,chck_004,4,100,100,0.537261575,0.546390634,123.6378417,149.1681435,68.45991417,0.093955947,-0.289599311,1.207505823,2.198745259,0.551533537,0.991239436,0.050432904,0.125152872,78.97804041,1036,7,0.993243243,0.372606325,0.245210218,0.031762878,0.084103619,0.842142367,0.699065237,0.564072648,0.484547046,0.176621123,0.181913031,1.404603798,3.005315465,0.451331668,0.205164865,0.630826264,3.42936771,0.313298871,2.911506394,11.73910325,1.517861315,4.42936771,2.648455468,5898.666267,8049.500361,31175.48955,0.681213736,0.790204509,1.021806765,1.36239057,1.708861799,0.589020265,2.8721247,5.289296286,3.8721247,-1.417171587,0.372271767,0.5972832,0.572840563,129.8560319,156.1012885,72.9182102,0.092004458,-0.282277587,1.202705755,2.152269363,0.560112845,0.949563607,0.054945356,0.123325376,78.92960212,259,0,1,0.417606652,0.263477428,0.033272385,0.090464418,0.852379654,0.72967636,0.60614634,0.529694648,0.201548398,0.206286608,1.555404342,3.140065818,0.462033834,0.226318732,0.643977,3.625631314,0.341607613,3.039521596,12.57274009,1.586109718,4.625631314,2.718893121,6250.767549,8491.849735,32628.25399,0.67797626,0.786449218,1.016951281,1.355917562,1.69265256,0.586703334,2.842853505,5.228853939,3.842853505,-1.386000434,0.388317314
230216,4,525.1,32,4,1,grp1_027,32,100,100,0.646986441,0.558764926,126.6083637,152.8474674,70.48314568,0.094397839,-0.287657101,1.208627971,2.192637243,0.554023448,0.984009272,0.061116498,0.125869352,79.11466789,1036,5,0.995173745,0.389678263,0.25579732,0.033197287,0.08766426,0.842353751,0.70834898,0.578494974,0.500442666,0.180733399,0.185611289,1.468091149,3.012165345,0.450826917,0.206681389,0.631958324,3.448246047,0.31524724,2.925563406,11.79350226,1.522682641,4.448246047,2.64676797,6238.786125,8525.29353,32846.04342,0.68071414,0.789625159,1.021058103,1.361393329,1.706506145,0.587825046,2.856817379,5.280959117,3.856817379,-1.424141738,0.380413298,0.715508784,0.5757561,123.0370486,149.0874479,66.49341462,0.096156096,-0.300909288,1.212903642,2.264511969,0.538104995,1.051608327,0.06880451,0.126930199,78.9228828,259,0,1,0.426551548,0.267822673,0.034249161,0.092832872,0.8513873,0.732975423,0.612379366,0.53704102,0.205001215,0.209561425,1.569794634,3.130889054,0.46143146,0.228715111,0.642703546,3.60768637,0.344302475,3.013429711,12.52817283,1.594256659,4.60768637,2.716249657,6051.006369,8205.51068,31441.96423,0.677054227,0.785379546,1.015567772,1.354072271,1.687413679,0.585859938,2.833220029,5.208005573,3.833220029,-1.374785544,0.389812278
230216,5,525.1,40,5,8,chck_002,2,98.88888889,100,0.281699348,0.502467106,112.8821026,130.5032449,76.58001125,0.072784413,-0.193034909,1.157129948,1.712953161,0.676767203,0.555823213,0.020668173,0.105913947,79.59269933,1037,274,0.735776278,0.269564455,0.170846212,0.029349611,0.062486738,0.799094475,0.602222217,0.448050396,0.368163085,0.166859307,0.17608836,0.727097163,2.564023842,0.360775434,0.223304552,0.619184661,3.301290542,0.328187281,2.724709392,9.290474933,1.57658115,4.301290542,2.141746107,5166.181962,6456.779164,22856.40115,0.625286647,0.725328344,0.937913131,1.250528389,1.464835831,0.553667111,2.537688603,4.44708802,3.537688603,-0.909399417,0.314243737,0.337331106,0.521104661,112.6298811,130.7134101,75.35976767,0.074471572,-0.198935285,1.160970922,1.738543073,0.668311377,0.577572151,0.025112087,0.10777083,79.59950942,262,64,0.755725191,0.315637783,0.196916422,0.028306158,0.065610461,0.835290662,0.66125631,0.510601273,0.427536852,0.185407098,0.193515006,0.995520596,2.917469095,0.397484831,0.231641686,0.655750719,3.821253958,0.345021599,3.217400104,11.20248609,1.603853854,4.821253958,2.322010237,5447.225669,6711.57131,23141.34307,0.613932985,0.712158272,0.920883353,1.227822972,1.421020284,0.545502613,2.46137831,4.306486209,3.46137831,-0.845107898,0.319762671
230216,6,525.1,48,6,1,chck_002,2,100,100,0.265354603,0.511237144,108.2464794,129.1716787,67.22805527,0.088411269,-0.235088009,1.194063737,1.931043079,0.619757058,0.736979342,0.023488094,0.123133184,80.27549004,1035,725,0.299516908,0.331438922,0.196034377,0.02716465,0.062617062,0.848110609,0.679492894,0.53068089,0.447333354,0.207499592,0.216139222,1.034649165,3.092557804,0.395566144,0.256496466,0.681817382,4.307615605,0.377081333,3.615930548,12.30501066,1.691685058,5.307615605,2.313349953,4854.657076,6317.811874,27111.73885,0.69652566,0.807965692,1.044772032,1.393007432,1.792424129,0.622261612,3.305228174,5.61706759,4.305228174,-1.311839416,0.355995623,0.396531973,0.532037192,105.3145399,125.3667766,66.40997983,0.08735351,-0.229057291,1.19156848,1.905228691,0.628101202,0.713660211,0.034537422,0.122290383,80.41084325,259,232,0.104247104,0.368556786,0.214497518,0.02868696,0.067576864,0.85551362,0.707207127,0.567924045,0.486301206,0.222371768,0.229988582,1.177840645,3.195645042,0.405066667,0.264054373,0.689971067,4.469487271,0.387388867,3.750089668,12.96127836,1.719397604,5.469487271,2.365791693,5297.806119,6854.315476,27900.41087,0.68112152,0.790097145,1.02166685,1.362201895,1.709480832,0.60573646,3.081457382,5.294126203,4.081457382,-1.212668821,0.362340507
230216,7,525.1,56,7,8,chck_001,1,100,100,0.316898715,0.451744292,100.0697154,119.621659,66.82552868,0.089379528,-0.20058959,1.19653414,1.79999344,0.666270334,0.6034593,0.028905386,0.128101319,82.19218405,1037,1025,0.011571842,0.274750526,0.158868343,0.023868711,0.051549886,0.839407533,0.633691384,0.470668736,0.386059316,0.198739399,0.209963013,0.763777429,2.979684178,0.36753275,0.266765186,0.683289956,4.347000259,0.387210568,3.617697773,11.60852044,1.729302485,5.347000259,2.165735297,4195.270664,5288.07224,22563.46666,0.685885605,0.795622535,1.028809144,1.371719842,1.741068373,0.619600999,3.286996801,5.429718014,4.286996801,-1.142721213,0.309490372,0.386359429,0.485549904,98.90073162,119.7747761,64.61378421,0.095707015,-0.210662747,1.211747953,1.86011538,0.652219668,0.648367427,0.036974861,0.135668931,82.70339432,262,262,0,0.299640562,0.168193711,0.022978419,0.052093744,0.85743909,0.664734032,0.504303915,0.418246018,0.21640388,0.227372626,0.895494305,3.215415644,0.38772852,0.281006636,0.703718094,4.761208347,0.40738851,3.979021798,13.06549518,1.782186549,5.761208347,2.268118003,4535.968777,5570.911196,22438.54027,0.663045497,0.769128207,0.99454978,1.326041754,1.626760174,0.601420962,3.047093385,5.002252074,4.047093385,-0.955158689,0.321654124
230216,8,525.1,64,8,1,grp1_105,110,100,100,0.292464908,0.461885759,102.406404,121.8517547,69.71863596,0.086986399,-0.191017743,1.190667301,1.754814469,0.679539483,0.564147168,0.025814791,0.125989943,82.36691635,1035,1035,0,0.266833747,0.157038627,0.025995035,0.052747849,0.821718245,0.616120166,0.455149525,0.372280916,0.190818755,0.2019647,0.675178142,2.766323183,0.339757831,0.259029981,0.669422328,4.070506068,0.374615025,3.37011331,10.33616042,1.700392758,5.070506068,2.035524476,4486.421417,5583.22904,22712.02009,0.669209385,0.776278309,1.003795581,1.338369449,1.656302903,0.604364198,3.08683415,5.10881446,4.08683415,-1.021980309,0.308445127,0.388350935,0.500569223,104.9179711,125.046171,71.73319377,0.087890582,-0.189332507,1.192804401,1.751957555,0.681966121,0.559153154,0.034131026,0.127470841,82.6525268,259,259,0,0.289720309,0.169755983,0.025439856,0.055239304,0.838484035,0.645034892,0.486204937,0.401833601,0.199693964,0.210116404,0.815116747,2.953929304,0.368839355,0.261511626,0.679879725,4.255543483,0.380811815,3.545715642,11.41265207,1.709827841,5.255543483,2.174871701,5052.333829,6113.076786,22427.69157,0.630045854,0.730848934,0.945051583,1.260045849,1.478606198,0.569527804,2.683112335,4.482536253,3.683112335,-0.799423918,0.314856559
230216,9,525.1,72,9,8,chck_005,5,100,100,0.206583736,0.469633986,93.80385842,111.0411649,66.28896026,0.084565441,-0.173280653,1.185073226,1.685012152,0.705124934,0.499938926,0.017874688,0.124567441,83.06350873,1036,1036,0,0.226034882,0.131579677,0.023036858,0.044607824,0.813504394,0.574360506,0.405840466,0.324684608,0.179132849,0.192001348,0.531225975,2.688921242,0.319618845,0.263392806,0.668974917,4.077910242,0.377840618,3.360315473,9.925957109,1.717594769,5.077910242,1.947798456,4120.799621,4964.613927,19605.74626,0.651443976,0.755669908,0.977145336,1.302832946,1.574422935,0.594570021,2.973470846,4.816620092,3.973470846,-0.843149246,0.306044377,0.259642902,0.473781059,91.60607775,111.0065266,62.08351939,0.095919687,-0.192686824,1.21226519,1.79210487,0.677068348,0.579839679,0.024965068,0.138162146,83.7930511,259,259,0,0.247811157,0.139763349,0.022028955,0.045252297,0.836567994,0.609151231,0.439834295,0.355555322,0.197120635,0.210033575,0.631121965,2.934456363,0.345359186,0.278763255,0.691089986,4.48958729,0.400167815,3.715052023,11.30803245,1.774535267,5.48958729,2.05969754,3952.848284,4843.837795,19812.92031,0.667518621,0.77431637,1.001256798,1.334980886,1.644662237,0.607098577,3.108082563,5.059108679,4.108082563,-0.951026117,0.316255319
230216,10,525.1,80,10,1,grp1_011,16,100,100,0.173390083,0.460303668,93.49433316,111.8892474,63.67439582,0.089883313,-0.190902983,1.197748926,1.765526302,0.67978561,0.567777376,0.015854788,0.129954728,82.86304124,1037,1029,0.007714561,0.240580322,0.13946798,0.023151065,0.045138823,0.822017026,0.593082133,0.425881306,0.343470055,0.185606867,0.198010483,0.604068481,2.792053529,0.322852425,0.264972754,0.681875023,4.333411706,0.381453513,3.610035754,10.54094637,1.723375952,5.333411706,1.963753179,4153.446733,5046.519839,21423.92371,0.673653551,0.781433222,1.010460536,1.347254327,1.681383939,0.616999469,3.272575939,5.208581065,4.272575939,-0.936005126,0.309865806,0.230778932,0.473689441,93.37073995,113.3472572,62.23093316,0.096865863,-0.20097465,1.214584786,1.827010892,0.665532687,0.612426107,0.022380595,0.138421516,83.44811773,260,260,0,0.269830863,0.1507347,0.021726096,0.045811602,0.850837273,0.637100663,0.469987345,0.384092287,0.207959648,0.220218955,0.753074598,3.1205454,0.356675033,0.283033511,0.709591789,4.897991834,0.408034633,4.106741195,12.45465117,1.791250639,5.897991834,2.112368854,4563.344217,5452.937517,20552.94242,0.634949574,0.736536814,0.9524054,1.269848586,1.500451045,0.578922234,2.793411557,4.558138104,3.793411557,-0.764726547,0.300633829
